keyword	search_volume	kd	intent	rank	url
porter's five forces	2900	13	informational	41	/nhan-luc-nhan-su/phan-tich-mo-hinh-5-ap-luc-canh-tranh-cua-michael-porter.html
spss là gì	2900	0	informational	28	/dich-vu-xu-ly-so-lieu-spss.html
tung độ hoành độ	2900	0	informational	17	/hoi-dap/tung-do-la-x-hay-y.html
valid	2900	0	informational	45	/hoi-dap/valid-la-gi.html
đoạn văn bằng tiếng anh về bảo vệ môi trường	2900	0	transactional	73	/luan-van-tieng-anh/bai-luan-tieng-anh-ve-o-nhiem-moi-truong.html
độ lệch chuẩn là gì	2900	0	informational	53	/hoi-dap/phuong-sai-va-do-lech-chuan.html
acknowledgement	2400	0	informational	17	/luan-van-tieng-anh/cach-viet-acknowledgement.html
acknowledgements	2400	3	informational	10	/luan-van-tieng-anh/cach-viet-acknowledgement.html
anova	2400	9	informational	30	/tai-lieu-spss/kiem-dinh-anova-trong-spss.html
assignment là gì	2400	0	informational	19	/tai-lieu-assignment/assignment-la-gi-huong-dan-cach-lam-assignment.html
assignments là gì	2400	0	informational	13	/tai-lieu-assignment/assignment-la-gi-huong-dan-cach-lam-assignment.html
bài essay mẫu	2400	0	informational	86	/tai-lieu-essay/bai-opinion-essay-mau.html
chung thân	2400	0	informational	14	/cam-nang-luat/tu-chung-than-la-gi-hinh-phat-tu-chung-than-la-bao-nhieu-nam.html
chảy	2400	0	informational	109	/cam-nang-luan-van/chay-la-gi-lam-nao-de-dap-tat-dam-chay.html
component là gì	2400	0	informational	55	/hoi-dap/component-la-gi-cac-chuc-nang-chinh-cua-component.html
cách làm phụ lục	2400	0	informational	42	/luan-van-tieng-anh/cach-trinh-bay-phu-luc-luan-van-tieng-anh.html
công thức tính độ lệch chuẩn	2400	0	informational	74	/hoi-dap/cong-thuc-tinh-do-lech-chuan.html
công thức độ lệch chuẩn	2400	0	informational	62	/hoi-dap/cong-thuc-tinh-do-lech-chuan.html
glycogen	2400	6	informational	77	/cam-nang-luan-van/glycogen-la-gi-cau-tao-co-che-hinh-thanh-va-co-che-hoat-dong-cua-glycogen.html
hệ thống quản lý giáo dục mầm non	2400	21	informational	24	/hoi-dap/phan-mem-quan-ly-giao-duc-mam-non.html
học hàm là gì	2400	0	informational	25	/hoi-dap/thac-si-la-hoc-ham-hay-hoc-vi.html
method là gì	2400	0	informational	53	/luan-van-tieng-anh/methodology-la-gi-cach-viet-research-methodology.html
methodology là gì	2400	0	informational	6	/luan-van-tieng-anh/methodology-la-gi-cach-viet-research-methodology.html
methods là gì	2400	0	informational	28	/luan-van-tieng-anh/methodology-la-gi-cach-viet-research-methodology.html
nguyên hàm ln x	2400	0	informational	5	/hoi-dap/nguyen-ham-cua-ln-x.html
