slug	focus_keyword	measured_volume	gate_status	category	archetype	write_status	load_status	clashes_with	attempts	usd
mo-hinh-nghien-cuu	mô hình nghiên cứu	720	measured	mo-hinh-nghien-cuu	model-theory	repaired	refused-duplicate	nghien-cuu-khoa-hoc	2	0.01650
hoi-quy-logistic	hồi quy logistic	320	measured	spss	spss-howto	ok	scheduled		1	0.00767
cong-thuc-phuong-sai	công thức phương sai	4400	measured	thong-ke	term-la-gi	ok	refused-duplicate	phuong-sai	1	0.00718
phieu-khao-sat	phiếu khảo sát	1300	measured	khao-sat	survey	ok	refused-duplicate	bieu-mau-khao-sat	1	0.00768
phuong-phap-luan-la-gi	phương pháp luận là gì	1000	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00794
luan-van	luận văn	1900	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00782
cb-sem-la-gi	cb sem là gì	40	measured	smartpls	term-la-gi	ok	refused-duplicate	sem-la-gi	1	0.00732
gia-thiet-hay-gia-thuyet	giả thiết hay giả thuyết	590	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00826
mo-hinh-hoi-quy-tuyen-tinh	mô hình hồi quy tuyến tính	320	measured	spss	spss-howto	repaired	refused-duplicate	hoi-quy-tuyen-tinh	2	0.01662
scale-la-gi	scale là gì	4400	measured	thong-ke	term-la-gi	repaired	refused-duplicate	likert-scale-la-gi	2	0.01518
gg-form-khao-sat	gg form khảo sát	1000	measured	khao-sat	survey	ok	scheduled		1	0.00732
bai-nghien-cuu-khoa-hoc	bài nghiên cứu khoa học	880	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	refused-duplicate	nghien-cuu-khoa-hoc	1	0.00722
dao-van	đạo văn	1600	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00712
ave-trong-smartpls	ave trong smartpls	10	measured	smartpls	smartpls-howto	ok	scheduled		1	0.00748
mo-hinh-tpb	mô hình tpb	590	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00751
tuong-quan-pearson	tương quan pearson	320	measured	spss	spss-howto	repaired	scheduled		2	0.01680
mediator	mediator	3600	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00693
tao-form-khao-sat	tạo form khảo sát	1000	measured	khao-sat	survey	ok	refused-duplicate	gg-form-khao-sat	1	0.00763
du-lieu-so-cap	dữ liệu sơ cấp	720	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00676
de-cuong-nghien-cuu-khoa-hoc	đề cương nghiên cứu khoa học	1600	measured	khoa-luan-tot-nghiep	thesis-writing	ok	refused-duplicate	nghien-cuu-khoa-hoc	1	0.00792
bien-dieu-tiet-trong-smartpls	biến điều tiết trong smartpls	10	measured	smartpls	smartpls-howto	ok	scheduled		1	0.00809
ly-thuyet-la-gi	lý thuyết là gì	480	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00808
cach-nhan-xet-bang-tan-so	cách nhận xét bảng tần số	260	measured	spss	spss-howto	ok	scheduled		1	0.00717
std-la-gi	std là gì	3600	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01636
google-form-khao-sat	google form khảo sát	880	measured	khao-sat	survey	ok	refused-duplicate	gg-form-khao-sat	1	0.00718
vi-du-ve-cau-hoi-dinh-luong	ví dụ về câu hỏi định lượng	720	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00701
phuong-phap-nghien-cuu	phương pháp nghiên cứu	1300	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00780
mo-hinh-la-gi	mô hình là gì	480	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00817
phan-mem-stata	phần mềm stata	260	measured	spss	term-la-gi	repaired	scheduled		2	0.01651
cach-tinh-phuong-sai	cách tính phương sai	2900	measured	thong-ke	term-la-gi	ok	refused-duplicate	cong-thuc-tinh-phuong-sai	1	0.00689
cong-thuc-tinh-co-mau	công thức tính cỡ mẫu	480	measured	khao-sat	survey	ok	refused-duplicate	tinh-co-mau	1	0.00734
du-lieu-dinh-luong-la-gi	dữ liệu định lượng là gì	590	measured	nghien-cuu-khoa-hoc	term-la-gi	repaired	refused-duplicate	dinh-luong-la-gi	2	0.01553
gia-thuyet-nghien-cuu-la-gi	giả thuyết nghiên cứu là gì	1000	measured	khoa-luan-tot-nghiep	thesis-writing	ok	refused-duplicate	gia-thuyet-la-gi	1	0.00809
bien-kiem-soat-la-gi	biến kiểm soát là gì	390	measured	mo-hinh-nghien-cuu	term-la-gi	ok	scheduled		1	0.00743
phuong-trinh-hoi-quy-tuyen-tinh	phương trình hồi quy tuyến tính	260	measured	spss	spss-howto	ok	refused-duplicate	hoi-quy-tuyen-tinh	1	0.00768
median	median	2900	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00692
khao-sat-la-gi	khảo sát là gì	480	measured	khao-sat	survey	ok	scheduled		1	0.00713
khach-the-nghien-cuu-la-gi	khách thể nghiên cứu là gì	480	measured	nghien-cuu-khoa-hoc	term-la-gi	repaired	scheduled		2	0.01502
ly-do-chon-de-tai	lý do chọn đề tài	1000	measured	khoa-luan-tot-nghiep	topic-list	ok	refused-duplicate	de-tai-nckh	1	0.00753
mo-hinh-hoi-quy-tong-the	mô hình hồi quy tổng thể	390	measured	mo-hinh-nghien-cuu	model-theory	ok	refused-duplicate	hoi-quy-logistic	1	0.00800
xu-ly-du-lieu	xử lý dữ liệu	260	measured	spss	term-la-gi	repaired	scheduled		2	0.01532
regression	regression	2900	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00728
bang-cau-hoi-khao-sat-khach-hang	bảng câu hỏi khảo sát khách hàng	390	measured	khao-sat	survey	ok	scheduled		1	0.00725
nhung-bai-nghien-cuu-khoa-hoc-cua-sinh-vien	những bài nghiên cứu khoa học của sinh viên	480	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	refused-duplicate	nghien-cuu-khoa-hoc	1	0.00760
muc-luc-tieu-luan	mục lục tiểu luận	1000	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00760
mo-hinh-chap-nhan-cong-nghe-tam	mô hình chấp nhận công nghệ tam	320	measured	mo-hinh-nghien-cuu	model-theory	repaired	refused-duplicate	mo-hinh-tam	2	0.01603
cach-chay-thong-ke-mo-ta-trong-spss	cách chạy thống kê mô tả trong spss	40	measured	spss	spss-howto	ok	scheduled		1	0.00815
variance	variance	2900	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00729
bang-khao-sat	bảng khảo sát	390	measured	khao-sat	survey	ok	refused-duplicate	bang-cau-hoi-khao-sat-khach-hang	1	0.00742
phuong-phap-luan-nghien-cuu-khoa-hoc	phương pháp luận nghiên cứu khoa học	480	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	refused-duplicate	nghien-cuu-khoa-hoc	1	0.00715
cach-xac-dinh-de-tai	cách xác định đề tài	880	measured	khoa-luan-tot-nghiep	topic-list	ok	scheduled		1	0.00792
mo-hinh-hoi-quy	mô hình hồi quy	320	measured	mo-hinh-nghien-cuu	model-theory	ok	refused-duplicate	hoi-quy-logistic	1	0.00863
anova	anova	2400	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00694
co-mau-cua-mau-so-lieu-la-gi	cỡ mẫu của mẫu số liệu là gì	390	measured	khao-sat	term-la-gi	ok	refused-duplicate	co-mau-la-gi	1	0.00692
nghien-cuu-dinh-luong	nghiên cứu định lượng	320	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00688
loi-cam-doan-khoa-luan	lời cam đoan khóa luận	880	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	refused-duplicate	khoa-luan-tot-nghiep	2	0.01679
mo-hinh-servperf	mô hình servperf	320	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00806
cong-thuc-do-lech-chuan	công thức độ lệch chuẩn	2400	measured	thong-ke	term-la-gi	ok	refused-duplicate	do-lech-chuan	1	0.00725
khao-sat-muc-do-hai-long-cua-khach-hang	khảo sát mức độ hài lòng của khách hàng	390	measured	khao-sat	survey	ok	scheduled		1	0.00780
phuong-phap-dinh-tinh	phương pháp định tính	320	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00701
loi-mo-dau	lời mở đầu	880	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	scheduled		2	0.01629
mo-hinh-tra	mô hình tra	260	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00835
phuong-sai-va-do-lech-chuan	phương sai và độ lệch chuẩn	2400	measured	thong-ke	term-la-gi	repaired	refused-duplicate	do-lech-chuan	2	0.01536
thiet-ke-bang-hoi	thiết kế bảng hỏi	390	measured	khao-sat	survey	ok	scheduled		1	0.00719
chu-de-nghien-cuu-khoa-hoc	chủ đề nghiên cứu khoa học	260	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	refused-duplicate	nghien-cuu-khoa-hoc	1	0.00724
trich-dan	trích dẫn	880	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00804
bien-trung-gian-la-gi	biến trung gian là gì	210	measured	mo-hinh-nghien-cuu	term-la-gi	ok	scheduled		1	0.00719
pls	pls	2400	measured	thong-ke	term-la-gi	ok	refused-duplicate	smart-pls	1	0.00735
mau-phieu-khao-sat	mẫu phiếu khảo sát	320	measured	khao-sat	survey	ok	refused-duplicate	bieu-mau-khao-sat	1	0.00700
nghien-cuu-khoa-hoc-sinh-vien	nghiên cứu khoa học sinh viên	260	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	refused-duplicate	nghien-cuu-khoa-hoc	1	0.00679
loi-mo-dau-tieu-luan	lời mở đầu tiểu luận	720	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	refused-duplicate	loi-mo-dau	2	0.01622
mo-hinh-maslow	mô hình maslow	210	measured	mo-hinh-nghien-cuu	model-theory	repaired	refused-duplicate	thap-nhu-cau-maslow	2	0.01627
cach-tinh-do-lech-chuan	cách tính độ lệch chuẩn	1900	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00678
thang-do-likert-7-muc-do	thang đo likert 7 mức độ	320	measured	khao-sat	survey	ok	refused-duplicate	thang-do-likert	1	0.00729
pham-vi-nghien-cuu	phạm vi nghiên cứu	260	measured	nghien-cuu-khoa-hoc	term-la-gi	ok	scheduled		1	0.00671
danh-muc-bang-bieu-la-gi	danh mục bảng biểu là gì	590	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00751
mo-hinh-5-khoang-cach-chat-luong-dich-vu	mô hình 5 khoảng cách chất lượng dịch vụ	40	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00817
communality	communality	1900	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00748
tao-gg-form-khao-sat	tạo gg form khảo sát	260	measured	khao-sat	survey	ok	refused-duplicate	gg-form-khao-sat	1	0.00727
phuong-phap-dinh-luong	phương pháp định lượng	260	measured	nghien-cuu-khoa-hoc	term-la-gi	repaired	scheduled		2	0.01507
luan-an-tien-si	luận án tiến sĩ	590	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	scheduled		2	0.01768
mo-hinh-chuoi-gia-tri-porter	mô hình chuỗi giá trị porter	10	measured	mo-hinh-nghien-cuu	model-theory	ok	scheduled		1	0.00749
pca	pca	1900	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00703
tinh-co-mau	tính cỡ mẫu	260	measured	khao-sat	term-la-gi	ok	scheduled		1	0.00678
de-cuong-la-gi	đề cương là gì	480	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00818
thang-do-chat-luong-dich-vu	thang đo chất lượng dịch vụ	10	measured	mo-hinh-nghien-cuu	scale	ok	scheduled		1	0.00770
principal-component-analysis	principal component analysis	1900	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00720
likert-5	likert 5	210	measured	khao-sat	survey	ok	refused-duplicate	thang-do-likert	1	0.00762
muc-tieu-nghien-cuu	mục tiêu nghiên cứu	480	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	scheduled		2	0.01747
thang-do-thai-do	thang đo thái độ	10	measured	mo-hinh-nghien-cuu	scale	repaired	scheduled		2	0.01648
tinh-trung-vi	tính trung vị	1900	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00767
phuong-phap-chon-mau	phương pháp chọn mẫu	210	measured	khao-sat	survey	ok	scheduled		1	0.00736
cach-ghi-nguon-trich-dan-hinh-anh	cách ghi nguồn trích dẫn hình ảnh	390	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00773
reliability-la-gi	reliability là gì	1600	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00720
bang-cau-hoi-khao-sat	bảng câu hỏi khảo sát	170	measured	khao-sat	survey	ok	refused-duplicate	bang-cau-hoi-khao-sat-khach-hang	1	0.00723
cau-hoi-nghien-cuu	câu hỏi nghiên cứu	390	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00726
sd-la-gi	sd là gì	1600	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01574
thang-do-dinh-danh-la-gi	thang đo định danh là gì	50	measured	khao-sat	term-la-gi	ok	scheduled		1	0.00738
co-so-ly-thuyet	cơ sở lý thuyết	390	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00746
boxplot	boxplot	1300	measured	thong-ke	term-la-gi	ok	refused-duplicate	bieu-do-boxplot	1	0.00753
giao-trinh-phuong-phap-nghien-cuu-khoa-hoc-pdf	giáo trình phương pháp nghiên cứu khoa học pdf	390	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	refused-duplicate	nghien-cuu-khoa-hoc	2	0.01808
paired-la-gi	paired là gì	1300	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01594
loi-noi-dau	lời nói đầu	390	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	refused-duplicate	loi-mo-dau	2	0.01772
robustness-la-gi	robustness là gì	1300	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00746
trich-dan-ieee	trích dẫn ieee	390	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	refused-duplicate	trich-dan	2	0.01615
trung-binh-nhan	trung bình nhân	1300	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01512
cac-de-tai-nghien-cuu-khoa-hoc-cho-sinh-vien	các đề tài nghiên cứu khoa học cho sinh viên	320	measured	khoa-luan-tot-nghiep	topic-list	ok	refused-duplicate	nghien-cuu-khoa-hoc	1	0.00817
average-variance-extracted	average variance extracted	1000	measured	thong-ke	term-la-gi	ok	refused-duplicate	variance	1	0.00698
cach-trinh-bay-tai-lieu-tham-khao	cách trình bày tài liệu tham khảo	320	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	refused-duplicate	cach-ghi-tai-lieu-tham-khao	2	0.01608
chi-square	chi square	1000	measured	thong-ke	term-la-gi	repaired	refused-duplicate	r-square	2	0.01504
phuong-phap-nghien-cuu-dinh-tinh	phương pháp nghiên cứu định tính	320	measured	khoa-luan-tot-nghiep	thesis-writing	ok	refused-duplicate	phuong-phap-dinh-tinh	1	0.00818
correlation-la-gi	correlation là gì	1000	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00676
sua-dao-van	sửa đạo văn	320	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	refused-duplicate	dao-van	2	0.01675
ki-hieu-phuong-sai	kí hiệu phương sai	1000	measured	thong-ke	term-la-gi	ok	refused-duplicate	phuong-sai	1	0.00757
cach-trich-nguon-tai-lieu-tham-khao	cách trích nguồn tài liệu tham khảo	260	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	refused-duplicate	cach-ghi-tai-lieu-tham-khao	2	0.01599
p-value	p-value	1000	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00712
dat-van-de	đặt vấn đề	260	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00815
phan-mem-spss	phần mềm spss	1000	measured	thong-ke	term-la-gi	ok	refused-duplicate	phan-mem-stata	1	0.00680
khoang-trong-nghien-cuu-la-gi	khoảng trống nghiên cứu là gì	260	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00739
t-test	t test	1000	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00732
mendeley-la-gi	mendeley là gì	260	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00751
deviation-la-gi	deviation là gì	880	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00729
quy-trinh-nghien-cuu-khoa-hoc	quy trình nghiên cứu khoa học	260	measured	khoa-luan-tot-nghiep	thesis-writing	ok	refused-duplicate	nghien-cuu-khoa-hoc	1	0.00827
df-la-gi	df là gì	880	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01558
khoa-luan-la-gi	khóa luận là gì	210	measured	khoa-luan-tot-nghiep	thesis-writing	ok	scheduled		1	0.00780
do-lech-chuan-ki-hieu	độ lệch chuẩn kí hiệu	880	measured	thong-ke	term-la-gi	ok	refused-duplicate	do-lech-chuan	1	0.00714
phuong-phap-nghien-cuu-dinh-luong	phương pháp nghiên cứu định lượng	210	measured	khoa-luan-tot-nghiep	thesis-writing	ok	refused-duplicate	phuong-phap-nghien-cuu	1	0.00784
dummy-la-gi	dummy là gì	880	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01526
thiet-ke-nghien-cuu	thiết kế nghiên cứu	210	measured	khoa-luan-tot-nghiep	thesis-writing	repaired	scheduled		2	0.01870
mediation-la-gi	mediation là gì	880	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00731
mediators-la-gi	mediators là gì	880	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00692
standard-deviation-la-gi	standard deviation là gì	880	measured	thong-ke	term-la-gi	repaired	refused-duplicate	deviation-la-gi	2	0.01622
thu-thap-du-lieu	thu thập dữ liệu	880	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00703
tuong-quan-la-gi	tương quan là gì	880	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00694
coef-la-gi	coef là gì	720	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00720
coefficient-la-gi	coefficient là gì	720	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00779
coefficients-la-gi	coefficients là gì	720	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00734
eigenvalue	eigenvalue	720	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00690
eigenvector	eigenvector	720	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00752
hoi-quy-la-gi	hồi quy là gì	720	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01497
tan-so-tich-luy-la-gi	tần số tích lũy là gì	720	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00724
bieu-do-tan-suat	biểu đồ tần suất	590	measured	thong-ke	term-la-gi	repaired	refused-duplicate	bieu-do-boxplot	2	0.01457
construct-la-gi	construct là gì	590	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00793
ky-hieu-do-lech-chuan	ký hiệu độ lệch chuẩn	590	measured	thong-ke	term-la-gi	ok	refused-duplicate	do-lech-chuan	1	0.00719
ols	ols	590	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01612
phuong-sai-ky-hieu	phương sai ký hiệu	590	measured	thong-ke	term-la-gi	ok	refused-duplicate	phuong-sai	1	0.00746
tan-suat-la-gi	tần suất là gì	590	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00750
cach-tinh-phuong-sai-va-do-lech-chuan	cách tính phương sai và độ lệch chuẩn	480	measured	thong-ke	term-la-gi	ok	refused-duplicate	cach-tinh-do-lech-chuan	1	0.00727
cach-tinh-so-trung-binh-cua-mau-so-lieu	cách tính số trung bình của mẫu số liệu	480	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01591
cong-thuc-tinh-beta	công thức tính beta	480	measured	thong-ke	term-la-gi	ok	scheduled		1	0.00690
cong-thuc-tinh-phuong-sai-lop-10	công thức tính phương sai lớp 10	480	measured	thong-ke	term-la-gi	ok	refused-duplicate	cong-thuc-tinh-phuong-sai	1	0.00711
covariance	covariance	480	measured	thong-ke	term-la-gi	repaired	scheduled		2	0.01573
kiem-dinh-t-test	kiểm định t test	480	measured	thong-ke	test	repaired	scheduled		2	0.01576
bieu-do-hop	biểu đồ hộp	390	measured	thong-ke	term-la-gi	ok	refused-duplicate	bieu-do-boxplot	1	0.00731
