keyword	search_volume	verdict	reason
lỗi giá trị phân biệt không đạt spss		pass	no volume returned; quality gates decide
outer loading thấp phải làm sao		pass	no volume returned; quality gates decide
lỗi outer loading thấp spss		pass	no volume returned; quality gates decide
mô hình không hội tụ phải làm sao		pass	no volume returned; quality gates decide
lỗi mô hình không hội tụ spss		pass	no volume returned; quality gates decide
bootstrapping bị lỗi phải làm sao		pass	no volume returned; quality gates decide
lỗi bootstrapping bị lỗi spss		pass	no volume returned; quality gates decide
không mở được file sav phải làm sao		pass	no volume returned; quality gates decide
lỗi không mở được file sav spss		pass	no volume returned; quality gates decide
lỗi nhập dữ liệu từ excel spss		pass	no volume returned; quality gates decide
lỗi nhập dữ liệu từ excel phải làm sao		pass	no volume returned; quality gates decide
spss bị treo khi chạy phải làm sao		pass	no volume returned; quality gates decide
lỗi spss bị treo khi chạy spss		pass	no volume returned; quality gates decide
spss hết hạn dùng thử phải làm sao		pass	no volume returned; quality gates decide
lỗi spss hết hạn dùng thử spss		pass	no volume returned; quality gates decide
kết quả khác với bài báo gốc phải làm sao		pass	no volume returned; quality gates decide
lỗi kết quả khác với bài báo gốc spss		pass	no volume returned; quality gates decide
hội đồng hỏi về cỡ mẫu phải làm sao		pass	no volume returned; quality gates decide
lỗi hội đồng hỏi về cỡ mẫu spss		pass	no volume returned; quality gates decide
bị nghi ngờ số liệu không thật phải làm sao		pass	no volume returned; quality gates decide
lỗi bị nghi ngờ số liệu không thật spss		pass	no volume returned; quality gates decide
