unit	display	templates	category	archetype	family
ket-qua-bootstrapping-thay-doi-moi-lan-chay	kết quả bootstrapping thay đổi mỗi lần chạy	{display} phải làm sao;lỗi {display} smartpls	smartpls	troubleshoot	pls
micom-khong-dat	micom không đạt	{display} phải làm sao;lỗi {display} smartpls	smartpls	troubleshoot	pls
mo-hinh-khong-duoc-nhan-dang	mô hình không được nhận dạng	{display} phải làm sao;lỗi {display} amos	spss	troubleshoot	amos
cfi-nho-hon-0-9	cfi nhỏ hơn 0 9	{display} phải làm sao;lỗi {display} amos	spss	troubleshoot	amos
rmsea-lon-hon-0-08	rmsea lớn hơn 0 08	{display} phải làm sao;lỗi {display} amos	spss	troubleshoot	amos
chi-square-tren-df-qua-lon	chi square trên df quá lớn	{display} phải làm sao;lỗi {display} amos	spss	troubleshoot	amos
phuong-sai-am-heywood	phương sai âm heywood	{display} phải làm sao;lỗi {display} amos	spss	troubleshoot	amos
vuot-gioi-han-vong-lap	vượt giới hạn vòng lặp	{display} phải làm sao;lỗi {display} amos	spss	troubleshoot	amos
ket-qua-trai-voi-gia-thuyet	kết quả trái với giả thuyết	{display} phải làm sao;{display} thì làm gì	nghien-cuu-khoa-hoc	troubleshoot	defence
giang-vien-yeu-cau-doi-mo-hinh	giảng viên yêu cầu đổi mô hình	{display} phải làm sao;{display} thì làm gì	nghien-cuu-khoa-hoc	troubleshoot	defence
de-tai-bi-trung	đề tài bị trùng	{display} phải làm sao;{display} thì làm gì	nghien-cuu-khoa-hoc	troubleshoot	defence
ty-le-dao-van-cao	tỷ lệ đạo văn cao	{display} phải làm sao;{display} thì làm gì	nghien-cuu-khoa-hoc	troubleshoot	defence
bi-hoi-vi-sao-chon-pls-sem	bị hỏi vì sao chọn pls sem	{display} phải làm sao;{display} thì làm gì	nghien-cuu-khoa-hoc	troubleshoot	defence
